Student Roll Number, Course ID 
r1,h2 
r1,h1 
r2,h2 
r2,h10 
r2,h8 
r3,h5 
r3,h10 
r3,h6 
r4,h2 
r4,h5 
r4,h9 
r4,h8 
r5,h2 
r5,h5 
r5,h3 
r5,h10 
r5,h4 
r5,h8 
r6,h3 
r6,h10 
r6,h4 
r7,h2 
r8,h2 
r8,h3 
r8,h10 
r8,h9 
r9,h2 
r9,h3 
r10,h2 
r10,h5 
r10,h3 
r10,h4 
r11,h5 
r11,h3 
r11,h4 
r12,h3 
r12,h10 
r12,h6 
r13,h5 
r13,h3 
r13,h10 
r13,h9 
r13,h8 
r14,h2 
r14,h5 
r14,h10 
r14,h8 
r15,h2 
r15,h3 
r16,h9 
r16,h7 
r17,h2 
r17,h5 
r17,h10 
r17,h9 
r17,h8 
r17,h6 
r18,h2 
r18,h7 
r19,h2 
r19,h9 
r20,h2 
r20,h3 
r20,h9 
r20,h8 
